"","rank15","name","citizenship","age15","networth15","source15","year","rank14","age14","networth14","source14","rank13","age13","networth13","source13","rank12","age12","networth12","source12","rank11","age11","networth11","source11","rank10","age10","networth10","residence10","rank09","age09","networth09","residence09","rank08","age08","networth08","residence08","rank07","age07","networth07","residence07","rank06","age06","networth06","residence06","rank05","age05","networth05","residence05","rank04","age04","networth04","residence04","rank03","age03","networth03","v6","rank02","networth02","rank01","networth01","rank00","networth00","rank99","networth99","rank98","networth98","source98","rank97","networth97","rank96","networth96","case"
"292",NA,"Sirois, Charles","Canada",NA,NA,"",2000,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,290,1.20000004768372,NA,NA,NA,NA,"",NA,NA,NA,NA,3758
"293",NA,"Mannix, Ron & Fred","Canada",NA,NA,"",2001,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,421,1.20000004768372,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2566
"294",NA,"Wallace McCain","Canada",NA,NA,"",2011,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",512,81,2.29999995231628,"food",421,80,2.29999995231628,"Canada",334,"79",2,"Canada",358,"78",3.09999990463257,"Canada",349,"77",2.59999990463257,"Canada",335,76,2.29999995231628,"Canada",366,75,1.79999995231628,"Canada , Toronto",377,74,1.5,"Canada , Toronto",222,73,1.79999995231628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,4180
"295",NA,"Mike Lazaridis","Canada",NA,NA,"",2011,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",651,49,1.89999997615814,"Research in Motion",437,49,2.20000004768372,"Canada",397,"48",1.79999995231628,"Canada",296,"47",3.59999990463257,"Canada",583,"46",1.70000004768372,"Canada",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2806
"296",NA,"Thomson, Kenneth","Canada",NA,NA,"",2002,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,13,14.8999996185303,NA,NA,10,16.1000003814697,15,11.8999996185303,9,14.3999996185303,"Thomson Corp",20,11,14,7.40000009536743,4000
"297",NA,"Daryl A Katz","Canada",NA,NA,"",2003,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",278,41,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,809
"298",NA,"Sherman, Bernard (Barry)","Canada",NA,NA,"",2002,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,157,2.5,209,2.20000004768372,218,1.89999997615814,NA,NA,NA,NA,"",NA,NA,NA,NA,3710
"299",NA,"Thomson, Kenneth & family","Canada",NA,NA,"",2001,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,14,16.3999996185303,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,4001
"300",NA,"Edward Rogers","Canada",NA,NA,"",2008,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",173,"74",5.69999980926514,"Canada",165,"73",4.90000009536743,"Canada",224,72,3,"Canada",258,71,2.40000009536743,"Canada , Toronto",342,70,1.70000004768372,"Canada , Toronto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1028
"301",NA,"Bronfman, Charles R.","Canada",NA,NA,"",2001,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,124,3.40000009536743,146,3.29999995231628,110,3.70000004768372,102,3.29999995231628,"Seagram Co",105,3,NA,NA,543
"302",NA,"N Murray Edwards","Canada",NA,NA,"",2008,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",843,"48",1.39999997615814,"Canada",754,"47",1.29999995231628,"Canada",562,46,1.39999997615814,"Canada",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2913
"303",NA,"Desmarais, Paul","Canada",NA,NA,"",2002,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,277,1.60000002384186,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,890
"304",NA,"DeGroote, Michael","Canada",NA,NA,"",1996,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,324,1.20000004768372,864
"305",NA,"Harrison McCain","Canada",NA,NA,"",2004,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",472,76,1.20000004768372,"Canada , New Brunswick",278,75,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1470
"306",NA,"Pattison, Jim","Canada",NA,NA,"",2002,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,208,2,251,1.89999997615814,217,1.89999997615814,266,1.29999995231628,NA,NA,"",NA,NA,NA,NA,3102
"307",NA,"Alexander Shnaider","Canada",NA,NA,"",2010,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",773,41,1.29999995231628,"Canada",559,"40",1.29999995231628,"Canada",553,"39",2.20000004768372,"Canada",557,"38",1.79999995231628,"Canada",486,37,1.60000002384186,"Canada",488,36,1.39999997615814,"Canada , Toronto",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,148
"308",NA,"Charles R Bronfman","Canada",NA,NA,"",2003,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",177,71,2.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,662
"309",NA,"Eugene Melnyk","Canada",NA,NA,"",2003,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",303,43,1.39999997615814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1108
"310",NA,"Kenneth Thomson","Canada",NA,NA,"",2006,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",9,82,19.6000003814697,"Canada",15,81,17.8999996185303,"Canada , Toronto",15,80,17.2000007629395,"Canada , Toronto",13,79,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2112
"311",NA,"Melnyk, Eugene","Canada",NA,NA,"",2002,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,234,1.79999995231628,292,1.70000004768372,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2740
